类型,书名,出版日期,出版社,现价,原价,折扣,详细说明,图片地址
Go 语言, Go语言从入门到进阶实战（视频教学版） 9787111598244 ,,机械工业出版社,¥88.00,¥99.00,8.89折 ,,https://img3m7.ddimg.cn/59/27/11420323457-1_b_1.jpg
Go 语言, 【圆梦图书】Go语言核心编程+Go语言学习笔记 全两册 Go语言实战 Go语言实践编程书 Go语言编程入门教材 gola ,,人民邮电出版社,¥136.92,¥210.74,6.5折 ,,https://img3m7.ddimg.cn/22/32/11356676617-1_b_1.jpg
Go 语言, Go语言从入门到进阶实战【正版图书，满额减】 正版书籍，有问题联系客服！,2018-06-01,机械工业出版社,¥91.74,¥529.74,1.74折 ,适读人群 ：Go语言入门读者、Go语言进阶读者、编程爱好者等 资深程序员、慕课网特邀讲师分享多年的Go语言开发经验 详解Go语法及开发技巧，深度剖析开源网络库cell的设计和架构思想 100分钟配套教学视频、72个开发实例精讲 用浅显易懂的语言讲解，不让读者有云山雾罩的感觉 用大量实例带领读者学习，让读者在实际动手中提高编程水平 给出了大量的“避坑”技巧，让读者在实际开发中少走弯路 实例来自于作者多年的口述教学和技术分享会，广受业界好评 每个实例程序都精心设计，让Go语言学习者大呼过瘾 本书内容速览： 初识Go语言 Go语言基本语法与使用 容器：存储和组织数据的方式 流程控制 函数（function） 结构体（struct） 接口（interface） 包（package） 并发 反射 编译与工具 “避坑”与技巧 实战演练——剖析cell网络库设计并实现Socket,https://img3m0.ddimg.cn/82/36/11415652660-1_b_1.jpg
Go 语言, Go语言入门经典 618正品图书限时直降！6.13-6.20全场叠加满49-5，99-10，149-15！,2018-08-01,人民邮电出版社,¥41.30,¥59.00,7折 ,Go语言入门宝典 极易上手的Go语言入门教程 全球销量逾百万册的系列图书,https://img3m6.ddimg.cn/86/28/11125253786-1_b_1.jpg
Go 语言, Go语言定制指南 POSTS & TELECOM PRESS/人民邮电出版社 9787115584410 旗舰店正版质量保证！支持团购优惠价，出版社库房直发，提供正规电子发票,2022-04-01,人民邮电出版社,¥59.00,¥79.90,7.39折 ,,https://img3m8.ddimg.cn/38/0/11349581798-1_b_1.jpg
Go 语言, Go语言编程 柴树杉曹春辉著 go语言进阶实战云计算云存储区块链web编程书程序设计入门计算机网络电脑教程书籍 ,,人民邮电出版社,¥95.38,¥95.38,10折,,https://img3m8.ddimg.cn/92/8/11345853908-1_b_1.jpg
Go 语言, Go语言入门教材书籍 Go语言实战 Go语言编程web编程 golang教程实战自学基础入门精通实践开发 Web应用程序 ,2020-08-12,人民邮电出版社,¥77.40,¥79.71,9.72折 ,,https://img3m6.ddimg.cn/14/22/1692828536-1_b_1.jpg
Go 语言, Go语言高级编程 Go语言核心编程 2册 golang教程实战自学基础入门精通实践开发 Go语言实践编程图书 Go语言编 C7 Go语言编程 2册,2020-08-21,电子工业出版社,¥158.90,¥168.42,9.44折 ,,https://img3m7.ddimg.cn/38/22/1712363537-1_b_1.jpg
Go 语言, Go语言趣学指南 ,2020-04-01,人民邮电,¥48.30,¥69.00,7折 ,,https://img3m5.ddimg.cn/80/7/1581119675-1_b_1.jpg
Go 语言, Go语言编程之旅 一起用Go做项目 命令行应用 HTTP应用 RPC应用 WebSocket 应用 进程内缓存和 Go语 温馨提示: 正版保障 贴心售后 收藏商品 优先发货 部分书籍卖价高于定价 介者慎拍. 部分赠品赠完为止。,,电子工业出版社,¥110.83,¥110.83,10折,,https://img3m1.ddimg.cn/66/11/11340595101-1_b_1.jpg
Go 语言, Go语言实战 go语言入门教程书籍go语言编程书籍go语言并发编程指南go语言程序设计Go语言入门教材书Go语言 ,2017-03-01,人民邮电,¥49.21,¥69.80,7.06折 ,,https://img3m4.ddimg.cn/0/3/11028345174-1_b_1.jpg
Go 语言, 【 正版书籍】Go 语言从基础到中台微服务实战开发 ,2023-04-14,水利水电出版社,¥40.90,¥79.00,5.18折 ,,https://img3m3.ddimg.cn/88/35/11412068173-1_b_2.jpg
Go 语言, Go语言编程三剑客GO语言实战+GO语言高级编程+GO web编程go语言入门到精通教程书籍 计算机编程入门程序设计电脑 ,,人民邮电出版社,¥227.00,¥227.00,10折,,https://img3m4.ddimg.cn/70/7/11125666204-1_b_1.jpg
Go 语言, Go语言学习笔记 电子工业出版社 雨痕 电子工业出版社 9787121291609 ,2016-07-01,电子工业出版社,¥36.00,¥36.00,10折,,https://img3m5.ddimg.cn/1/1/11434523365-1_b_1.jpg
Go 语言, Go语言学习指南 惯例模式与编程实践 乔恩 博德纳 构建Web服务 代码 陷阱 设计模式 垃圾 指针 内存布局 机械工业 旗舰店正版质量保证！支持团购优惠价，出版社库房直发，提供正规电子发票,2022-04-01,机械工业出版社,¥83.30,¥119.00,7折 ,,https://img3m8.ddimg.cn/14/16/11363139428-1_b_1.jpg
Go 语言, Go语言精进之路：从新手到高手的编程思想、方法和技巧 2 ,2021-12-01,机械工业,¥83.28,¥119.00,7折 ,,https://img3m5.ddimg.cn/22/13/11082484435-1_b_1.jpg
Go 语言, Go语言编程之旅：一起用Go做项目 陈剑煜徐新华 电子工业出版社【正版书籍，售后无忧，达额立减】 本店支持电子发票，如需发票请联系在线客服提供您的邮箱地址哦,2020-06-01,电子工业出版社,¥92.57,¥108.00,8.58折 ,本书针对Go语言中较为常用的命令行应用、应用、RPC应用、WebSocket 应用、进程内缓存进行了详细的介绍，并开发了一系列小的适合程序员日常使用的工具。 同时对项目开发、细节分析、运行时分析等核心内容进行了较为深入的剖析，提供了相对完整的项目实践经验。 适合有语言类基础的读者阅读。,https://img3m5.ddimg.cn/73/29/11401477435-1_b_1.jpg
Go 语言, GO语言实战【售后无忧】 【正版图书】,2019-03-01,机械工业出版社,¥77.71,¥157.64,4.93折 ,70个技术案例内容实用，起点较低、上手容易,https://img3m0.ddimg.cn/61/3/11413176550-1_b_1.jpg
Go 语言, Go语言定制指南 go语言程序设计教程go语言设计与实现 云计算Go语言编程指南 Go语言编程自学实战 ,2022-04-01,人民邮电,¥56.26,¥79.90,7.05折 ,,https://img3m5.ddimg.cn/58/35/11185388635-1_b_1.jpg
Go 语言, Go语言高并发与微服务实战 go语言编程教程书籍 golang教程自学Go语言学习笔记 go语言程序设计Go语言入门教材 ,,中国铁道出版社,¥60.22,¥102.01,5.91折 ,,https://img3m1.ddimg.cn/13/21/11362679671-1_b_1.jpg
