类型,书名,出版日期,出版社,现价,原价,折扣,详细说明,图片地址
python, 非常容易：Python+Office市场营销办公自动化 用python和office实现市场营销办公自动化，实现数据处理与可视化，快速剪辑营销推广视频,2022-04-15,机械工业出版社,¥63.00,¥79.80,7.9折 ,,https://img3m6.ddimg.cn/9/14/29393406-1_b_6.jpg
python, 深入浅出Python量化交易实战 你听说了吗？他们已经在用机器割“韭菜”啦！量化交易技术，让股市赚钱不再难。免费提供配套源程序+学习视频。简单易懂，即便是非金融或投资专业的读者也可以看懂,2021-12-01,清华大学出版社,¥78.20,¥99.00,7.9折 ,简单易懂：即便是非金融或投资专业的读者也可以看懂。 直截了当：不谈理论，只讲方法，带领读者使用真实数据集进行操练。 轻松愉快：没有说教，如朋友般娓娓道来，还有小瓦姑娘陪你练习。 前沿视角：将国际前沿的自然语言处理技术引入书中，令人耳目一新。 使用Python获得真实的股票行情数据，让你快速上手； 设计简单的交易策略，让交易信号告诉你什么时候下单买卖； 徒手 实现一个简单的回测程序，让它帮你评估策略的收益情况； 用Python实现经典的交易策略并回测，让你心中有数； 使用KNN模型预测股价的涨跌，并基于此设计交易策略； 利用第三方量化交易平台获取更多数据； 使用PCA主成分分析制作你的专属交易因子，用它来选股； 对因子进行分析，找到在某个时间范围内能带来较高收益的因子； 将经典机器学习算法与因子结合起来设计交易策略,https://img3m6.ddimg.cn/6/17/29347566-1_b_7.jpg
python, Excel+Python：飞速搞定数据分析与处理 xlwings数据处理分析Python编程 Exc 官方正版 出版社直发,2022-03-01,人民邮电出版社,¥45.90,¥89.80,5.12折 ,,https://img3m4.ddimg.cn/0/14/11132491194-1_b_2.jpg
python, 笨办法学Python 3 编程从入门到实践教程书 Python基础教程自学书籍 代码基于Python3.6 官方正版 出版社直发,2018-06-01,人民邮电出版社,¥29.50,¥59.00,5折 ,适合对计算机编程了解不多，没有学过编程，但对Python编程感兴趣的读者阅读。,https://img3m9.ddimg.cn/53/3/1333617569-1_b_1.jpg
python, Python数据分析 活用Pandas库 数据科学教程数据分析入门图书 Python编程入门数据处理 ,2020-01-01,人民邮电出版社,¥69.40,¥89.00,7.8折 ,轻松掌握流行的Python数据分析工具 深入浅出，示例丰富，容易理解和上手,https://img3m5.ddimg.cn/14/28/1577881715-1_b_1.jpg
python, 基于Python的金融分析与风险管理 第2二版 斯文 金融大数据 金融分析师教程 量化交易 Pyth ,2021-10-01,人民邮电出版社,¥84.00,¥168.00,5折 ,,https://img3m4.ddimg.cn/56/25/696455354-1_b_2.jpg
python, Python医学数据分析入门 Python语言程序设计及医学应用python3.8医学统计医学数据挖 ,2022-01-01,人民邮电出版社,¥45.90,¥89.80,5.12折 ,,https://img3m4.ddimg.cn/20/23/11067136364-1_b_2.jpg
python, Python网络爬虫权威指南 第2版 Python 3网络爬虫开发实战入门教程 数据采集数据爬取数 官方正版 出版社直发,2019-04-01,人民邮电出版社,¥59.25,¥79.00,7.5折 ,Python 3网络爬虫开发入门书籍，全面介绍网页抓取技术，解决Web数据采集、转换和使用中的诸多常见问题和痛点,https://img3m6.ddimg.cn/68/3/1417089236-1_b_1.jpg
python, Python 3反爬虫原理与绕过实战 韦世东著崔庆才推荐 编程从入门道精通 ,2020-01-01,人民邮电出版社,¥66.75,¥89.00,7.5折 ,Python 3反爬虫原理大揭秘，常见爬虫手段大集合，帮你从零到一理清爬虫与反爬虫的红蓝对抗。,https://img3m5.ddimg.cn/56/33/1566328655-1_b_1.jpg
python, 程序员数学 用Python学透线性代数和微积分 用Python学数学程序员的数学基础课算法几何学微积 ,2021-12-01,人民邮电出版社,¥101.20,¥129.80,7.8折 ,,https://img3m4.ddimg.cn/9/31/11042365464-1_b_2.jpg
